Equipo,Fecha de Inicio de Mantenimiento,Fecha de Término de Mantenimiento,Falla Identificada,Descripción de la Falla,Causa Raíz,Tiempo Estimado de Mantenimiento (hrs),Tiempo Real de Mantenimiento (hrs)
Prensas,2024-02-05,2024-02-07 23:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,72,71
Tamices o Cribas,2024-03-06,2024-03-06 08:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,8,8
Prensas,2024-04-10,2024-04-10 10:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,8,10
Lavadoras de Pulpa,2024-05-25,2024-05-25 11:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,12,11
Refinadores,2024-07-14,2024-07-14 05:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,4,5
Lavadoras de Pulpa,2024-08-28,2024-08-29 01:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,24,25
Digestores,2024-10-27,2024-10-27 08:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,8,8
Lavadoras de Pulpa,2024-12-11,2024-12-11 13:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,12,13
Bombas,2025-01-20,2025-01-23 00:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Error humano,72,72
Refinadores,2025-03-11,2025-03-11 10:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,12,10
Tamices o Cribas,2025-04-10,2025-04-10 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Sobrecarga,8,10
Digestores,2025-06-09,2025-06-09 07:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Fatiga del material,6,7
Digestores,2025-08-08,2025-08-08 05:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Falla mecánica,6,5
Digestores,2025-10-07,2025-10-07 23:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Fatiga del material,24,23
Refinadores,2025-11-26,2025-11-29 01:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Error humano,72,73
Refinadores,2026-01-15,2026-01-18 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,72,72
Bombas,2026-02-24,2026-02-24 11:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Corrosión,12,11
Refinadores,2026-04-15,2026-04-16 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Sobrecarga,48,47
Refinadores,2026-06-04,2026-06-04 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,24,23
Lavadoras de Pulpa,2026-07-19,2026-07-19 05:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,6,5
Bombas,2026-08-28,2026-08-31 01:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Error humano,72,73
Digestores,2026-10-27,2026-10-28 02:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Desgaste natural,24,26
Lavadoras de Pulpa,2026-12-11,2026-12-11 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,24,23
Digestores,2027-02-09,2027-02-09 06:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,4,6
Prensas,2027-03-16,2027-03-16 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Fatiga del material,4,2
